country;gini
Norway;27
Australia;34
Switzerland;32
Denmark;27
Netherlands;29
Germany;31
Ireland;32
United States;41
Canada;34
New Zealand;..
Singapore;..
Hong Kong, China (SAR);..
Liechtenstein;..
Sweden;26
United Kingdom;38
Iceland;26
Korea (Republic of);..
Israel;43
Luxembourg;..
Japan;32
Belgium;33
France;32
Austria;30
Finland;28
Slovenia;25
Spain;36
Italy;36
Czech Republic;26
Greece;35
Estonia;33
Brunei Darussalam;..
Cyprus;..
Qatar;..
Andorra;..
Slovakia;27
Poland;33
Lithuania;33
Malta;..
Saudi Arabia;..
Argentina;44
United Arab Emirates;..
Chile;51
Portugal;..
Hungary;29
Bahrain;..
Latvia;36
Croatia;34
Kuwait;..
Montenegro;31
Belarus;26
Russian Federation;40
Oman;..
Romania;27
Uruguay;41
Bahamas;..
Kazakhstan;29
Barbados;..
Antigua and Barbuda;..
Bulgaria;34
Palau;..
Panama;52
Malaysia;46
Mauritius;36
Seychelles;66
Trinidad and Tobago;..
Serbia;30
Cuba;..
Lebanon;..
Costa Rica;49
Iran (Islamic Republic of);38
Venezuela (Bolivarian Republic of);45
Turkey;40
Sri Lanka;36
Mexico;48
Brazil;53
Georgia;41
Saint Kitts and Nevis;..
Azerbaijan;33
Grenada;..
Jordan;34
The former Yugoslav Republic of Macedonia;44
Ukraine;25
Algeria;..
Peru;45
Albania;29
Armenia;30
Bosnia and Herzegovina;33
Ecuador;47
Saint Lucia;..
China;37
Fiji;43
Mongolia;37
Thailand;39
Dominica;..
Libya;..
Tunisia;36
Colombia;54
Saint Vincent and the Grenadines;..
Jamaica;46
Tonga;..
Belize;..
Dominican Republic;46
Suriname;..
Maldives;37
Samoa;..
Botswana;60
Moldova (Republic of);31
Egypt;31
Turkmenistan;..
Gabon;42
Indonesia;38
Paraguay;48
Palestine, State of;34
Uzbekistan;35
Philippines;43
El Salvador;42
South Africa;65
Viet Nam;36
Bolivia (Plurinational State of);47
Kyrgyzstan;33
Iraq;30
Cabo Verde;44
Micronesia (Federated States of);61
Guyana;..
Nicaragua;46
Morocco;41
Namibia;61
Guatemala;52
Tajikistan;31
India;34
Honduras;57
Bhutan;39
Timor-Leste;30
Syrian Arab Republic;36
Vanuatu;..
Congo;40
Kiribati;..
Equatorial Guinea;..
Zambia;57
Ghana;43
Lao People's Democratic Republic;36
Bangladesh;32
Cambodia;32
Sao Tome and Principe;34
Kenya;48
Nepal;33
Pakistan;30
Myanmar;..
Angola;43
Swaziland;51
Tanzania (United Republic of);38
Nigeria;43
Cameroon;41
Madagascar;41
Zimbabwe;..
Mauritania;40
Solomon Islands;..
Papua New Guinea;..
Comoros;64
Yemen;36
Lesotho;54
Togo;46
Haiti;59
Rwanda;51
Uganda;45
Benin;44
Sudan;35
Djibouti;40
South Sudan;..
Senegal;40
Afghanistan;28
C™te d'Ivoire;43
Malawi;46
Ethiopia;34
Gambia;47
Congo (Democratic Republic of the);44
Liberia;38
Guinea-Bissau;36
Mali;33
Mozambique;46
Sierra Leone;35
Guinea;34
Burkina Faso;40
Burundi;33
Chad;43
Eritrea;..
Central African Republic;56
Niger;31
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
